,Id,Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,6 months ago,12 months ago,24 months ago
0,25142815,House,PKR 6.0MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1101.6 Sq.feet,For Sale,5,2 weeks ago,"9,503,182","9,109,459","8,828,550"
1,21534582,House,PKR 8.5MM,"Khanna Pul, Islamabad, Islamabad Capital",6,1459.62 Sq.feet,For Sale,6,1 month ago,"12,670,909","12,145,945","11,771,400"
2,26775937,House,PKR 3.6MM,"Khanna Pul, Islamabad, Islamabad Capital",3,826.1999999999999 Sq.feet,For Sale,3,3 weeks ago,"7,127,386","6,832,094","6,621,412"
3,26775885,House,PKR 3.6MM,"Khanna Pul, Islamabad, Islamabad Capital",3,826.1999999999999 Sq.feet,For Sale,3,3 weeks ago,"7,127,386","6,832,094","6,621,412"
4,26775830,House,PKR 3.6MM,"Khanna Pul, Islamabad, Islamabad Capital",3,826.1999999999999 Sq.feet,For Sale,3,3 weeks ago,"7,127,386","6,832,094","6,621,412"
5,26775439,House,PKR 4.5MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1101.6 Sq.feet,For Sale,3,3 weeks ago,"9,503,182","9,109,459","8,828,550"
6,26775275,House,PKR 4.5MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1101.6 Sq.feet,For Sale,3,3 weeks ago,"9,503,182","9,109,459","8,828,550"
7,26775248,House,PKR 6.5MM,"Khanna Pul, Islamabad, Islamabad Capital",4,1377.0 Sq.feet,For Sale,4,3 weeks ago,"11,878,977","11,386,824","11,035,688"
8,26775102,House,PKR 2.5MM,"Khanna Pul, Islamabad, Islamabad Capital",3,550.8 Sq.feet,For Sale,3,3 weeks ago,"4,751,591","4,554,730","4,414,275"
9,26774758,House,PKR 4.2MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1101.6 Sq.feet,For Sale,3,3 weeks ago,"9,503,182","9,109,459","8,828,550"
10,26775144,House,PKR 4.5MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1101.6 Sq.feet,For Sale,3,3 weeks ago,"9,503,182","9,109,459","8,828,550"
11,26336045,House,PKR 1550.0MM,"Khanna Pul, Islamabad, Islamabad Capital",7,1514.6999999999998 Sq.feet,For Sale,8,1 month ago,"13,061,595","12,520,445","12,134,352"
12,24437317,House,PKR 3.2MM,"Khanna Pul, Islamabad, Islamabad Capital",2,826.1999999999999 Sq.feet,For Sale,2,4 months ago,"7,127,386","6,832,094","6,621,412"
13,24182251,House,PKR 1150.0MM,"Khanna Pul, Islamabad, Islamabad Capital",2,1927.7999999999997 Sq.feet,For Sale,2,5 months ago,"16,630,568","15,941,553","15,449,962"
14,22880340,House,PKR 110.0MM,"Khanna Pul, Islamabad, Islamabad Capital",6,1377.0 Sq.feet,For Sale,6,7 months ago,"11,878,977","11,386,824","11,035,688"
15,26332675,House,PKR 6.0MM,"Khanna Pul, Islamabad, Islamabad Capital",2,550.8 Sq.feet,For Sale,5,1 month ago,"4,751,591","4,554,730","4,414,275"
16,25862942,House,PKR 6.5MM,"Khanna Pul, Islamabad, Islamabad Capital",4,908.8199999999998 Sq.feet,For Sale,4,2 months ago,"7,919,318","7,591,216","7,357,125"
17,24877575,House,PKR 8.0MM,"Khanna Pul, Islamabad, Islamabad Capital",4,1927.7999999999997 Sq.feet,For Sale,4,4 months ago,"16,630,568","15,941,553","15,449,962"
18,24630563,House,PKR 110.0MM,"Khanna Pul, Islamabad, Islamabad Capital",6,1652.3999999999999 Sq.feet,For Sale,4,4 months ago,"14,254,773","13,664,189","13,242,825"
19,23722303,House,PKR 120.0MM,"Khanna Pul, Islamabad, Islamabad Capital",5,1377.0 Sq.feet,For Sale,5,6 months ago,"11,878,977","11,386,824","11,035,688"
20,22805900,House,PKR 5.5MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1101.6 Sq.feet,For Sale,3,7 months ago,"9,503,182","9,109,459","8,828,550"
21,22524555,House,PKR 2.1MM,"Khanna Pul, Islamabad, Islamabad Capital",2,550.8 Sq.feet,For Sale,2,8 months ago,"4,751,591","4,554,730","4,414,275"
22,21716226,House,PKR 9.2MM,"Khanna Pul, Islamabad, Islamabad Capital",3,1927.7999999999997 Sq.feet,For Sale,3,10 months ago,"16,630,568","15,941,553","15,449,962"
23,23815975,House,PKR 9.5MM,"Khanna Pul, Islamabad, Islamabad Capital",4,1652.3999999999999 Sq.feet,For Sale,4,5 months ago,"14,254,773","13,664,189","13,242,825"
24,22464811,House,PKR 110.0MM,"Khanna Pul, Islamabad, Islamabad Capital",6,1377.0 Sq.feet,For Sale,4,8 months ago,"11,878,977","11,386,824","11,035,688"
25,163,House,PKR 6.5MM,"I-16, Islamabad, Islamabad Capital",2,1377.0 Sq.feet,For Sale,2,5 days ago,"11,878,977","11,386,824","11,035,688"
26,162,House,PKR 9.5MM,"I-16, Islamabad, Islamabad Capital",3,1377.0 Sq.feet,For Sale,4,5 days ago,"11,878,977","11,386,824","11,035,688"
27,163,Flat,PKR 5.8MM,"I-16, Islamabad, Islamabad Capital",3,1707.48 Sq.feet,For Sale,3,2 weeks ago,"7,192,779","7,176,648","6,684,532"
28,162,House,PKR 9.5MM,"I-16, Islamabad, Islamabad Capital",3,1377.0 Sq.feet,For Sale,4,3 days ago,"11,878,977","11,386,824","11,035,688"
29,163,House,PKR 6.5MM,"I-16, Islamabad, Islamabad Capital",2,1377.0 Sq.feet,For Sale,2,6 days ago,"11,878,977","11,386,824","11,035,688"
30,23381851,Flat,PKR 3.2MM,"I-16, Islamabad, Islamabad Capital",2,1101.6 Sq.feet,For Sale,2,1 month ago,"4,623,929","4,613,559","4,297,199"
31,162,House,PKR 1050.0MM,"I-16, Islamabad, Islamabad Capital",3,1377.0 Sq.feet,For Sale,3,6 days ago,,,
32,163,Flat,PKR 4.0MM,"I-16, Islamabad, Islamabad Capital",2,1129.1399999999999 Sq.feet,For Sale,2,4 weeks ago,"4,685,582","4,675,073","4,354,495"
33,162,House,PKR 1030.0MM,"I-16, Islamabad, Islamabad Capital",4,2203.2 Sq.feet,For Sale,4,2 months ago,"19,272,532","18,953,564","17,202,059"
34,163,Flat,PKR 4.8MM,"I-16, Islamabad, Islamabad Capital",2,1129.1399999999999 Sq.feet,For Sale,2,4 months ago,"4,685,582","4,675,073","4,354,495"
35,25990438,Flat,PKR 3.2MM,"I-16, Islamabad, Islamabad Capital",2,1129.1399999999999 Sq.feet,For Sale,2,2 months ago,"4,685,582","4,675,073","4,354,495"
36,162,House,PKR 1050.0MM,"I-16, Islamabad, Islamabad Capital",5,1542.2399999999998 Sq.feet,For Sale,4,4 months ago,"13,198,864","12,652,027","12,261,875"
37,163,Flat,PKR 3.2MM,"I-16, Islamabad, Islamabad Capital",2,1129.1399999999999 Sq.feet,For Sale,2,10 months ago,"4,685,582","4,675,073","4,354,495"
38,164,House,PKR 1250.0MM,"I-16, Islamabad, Islamabad Capital",4,1542.2399999999998 Sq.feet,For Sale,6,2 months ago,"13,209,423","12,662,148","12,271,684"
39,163,Flat,PKR 3.3MM,"I-16, Islamabad, Islamabad Capital",2,1129.1399999999999 Sq.feet,For Sale,2,4 weeks ago,"4,685,582","4,675,073","4,354,495"
40,163,Flat,PKR 3.5MM,"I-16, Islamabad, Islamabad Capital",2,1129.1399999999999 Sq.feet,For Sale,2,4 months ago,"4,685,582","4,675,073","4,354,495"
41,163,Flat,PKR 4.2MM,"I-16, Islamabad, Islamabad Capital",-,1129.1399999999999 Sq.feet,For Sale,-,5 months ago,"4,685,582","4,675,073","4,354,495"
